,Country,GDPPC,IDV,IND,LTO,MAS,PDI,UAI,GDPPC_norm,CEXPC,CEXPC_norm
Albania,Albania,11900,20,15,61,80,90,70,10.61507937,6152,16.30936604
Angola,Angola,6800,18,83,15,20,83,60,5.555555556,3351,8.222100957
Argentina,Argentina,20200,46,62,20,56,49,86,18.84920635,7081.5,18.99309074
Australia,Australia,48800,90,71,21,61,36,51,47.22222222,22490,63.48171054
Austria,Austria,47900,55,63,60,79,11,70,46.32936508,22946,64.79830921
Bangladesh,Bangladesh,3900,20,20,47,55,80,60,2.678571429,1935,4.133715609
Belgium,Belgium,44900,75,57,82,54,65,94,43.3531746,19920,56.06140662
Brazil,Brazil,15200,38,59,44,49,69,76,13.88888889,8319,22.56609701
Bulgaria,Bulgaria,20100,30,16,69,40,70,85,18.75,8884,24.19740896
Burkina Faso,Burkina Faso,1800,15,18,27,50,70,55,0.5952380952,704,0.579476652
Canada,Canada,46200,80,68,36,52,39,48,44.64285714,23024,65.02351688
Cape Verde,Cape Verde,6700,20,83,12,15,75,40,5.456349206,5459.16,14.3089445
Chile,Chile,24000,23,68,31,28,63,86,22.61904762,12915,35.83602572
China,China,15400,20,24,87,66,80,30,14.08730159,3910,9.83608924
Colombia,Colombia,14200,13,83,13,64,67,80,12.8968254,7505,20.21585289
Croatia,Croatia,22400,33,33,58,40,73,80,21.03174603,10231,28.08657214
Czech Republic,Czech Republic,33200,58,29,70,57,57,74,31.74603175,12946,35.92553133
Denmark,Denmark,46600,74,70,35,16,18,23,45.03968254,18664,52.43498572
Dominican Republic,Dominican Republic,15900,30,54,13,65,65,45,14.58333333,8489,23.05693423
Egypt,Egypt,12100,25,4,7,45,70,80,10.81349206,7296,19.61241183
El Salvador,El Salvador,8900,19,89,20,40,66,94,7.638888889,6871,18.38531877
Estonia,Estonia,29500,60,16,82,30,40,60,28.07539683,11704,32.33953232
Finland,Finland,41800,63,57,38,26,33,59,40.27777778,19568,55.04508484
France,France,42400,71,48,63,43,68,86,40.87301587,20414,57.48772185
Germany,Germany,48200,67,40,83,66,35,65,46.62698413,23332,65.91279844
Ghana,Ghana,4400,15,72,4,40,80,65,3.174603175,1791,3.717947607
Greece,Greece,26800,35,50,45,57,60,100,25.3968254,15782,44.11385114
Hong Kong,Hong Kong,58100,25,17,61,57,68,29,56.4484127,33094,94.0984042
Hungary,Hungary,27200,80,31,58,88,46,82,25.79365079,11257,31.04891915
Iceland,Iceland,48100,60,67,28,10,30,50,46.52777778,20493,57.7158168
India,India,6700,48,26,51,56,77,40,5.456349206,3149,7.638870843
Indonesia,Indonesia,11700,14,38,62,46,78,48,10.41666667,4883,12.64541053
Iran,Iran,18100,41,40,14,43,58,59,16.76587302,2710.5,6.372799533
Iraq,Iraq,16500,30,17,25,70,95,85,15.17857143,2581.478311,6.000278075
Ireland,Ireland,69400,70,65,24,68,28,35,67.65873016,17212,48.24265837
Italy,Italy,36300,76,30,61,70,50,75,34.82142857,19055,53.56391134
Japan,Japan,38900,46,42,88,95,54,92,37.40079365,20129,56.66484768
Jordan,Jordan,11100,30,43,16,45,70,65,9.821428571,7413,19.95022333
Latvia,Latvia,25700,70,13,69,9,44,63,24.30555556,11881,32.85058049
Lebanon,Lebanon,18500,40,25,14,65,75,50,17.16269841,10635,29.25303236
Libya,Libya,14200,38,34,23,52,80,68,12.8968254,2971.6,7.126667764
Lithuania,Lithuania,29900,60,16,82,19,42,65,28.47222222,14665,40.88876185
Luxembourg,Luxembourg,102000,60,56,64,50,40,70,100,26054,73.77196857
Malaysia,Malaysia,27200,26,57,41,50,100,36,25.79365079,10965,30.20583403
Malta,Malta,37900,59,66,47,47,56,96,36.40873016,14820,41.33628991
Mexico,Mexico,18900,30,97,24,69,81,82,17.55952381,9406,25.70456796
Morocco,Morocco,8200,46,25,14,53,70,68,6.944444444,3678,9.166240793
Mozambique,Mozambique,1200,15,80,11,38,85,44,0,767,0.7613751527
Netherlands,Netherlands,50800,80,68,67,14,38,53,49.20634921,19072,53.61299506
New Zealand,New Zealand,37100,79,75,33,58,22,49,35.61507937,18148,50.94515038
Nigeria,Nigeria,5900,30,84,13,60,80,55,4.662698413,3930,9.893834796
Norway,Norway,69300,69,55,35,8,31,50,67.55952381,24024,67.91079467
Peru,Peru,13000,16,46,25,42,64,87,11.70634921,6749,18.03307088
Philippines,Philippines,7700,32,42,27,64,94,44,6.448412698,4527,11.61753964
Poland,Poland,27700,60,29,38,64,68,93,26.28968254,12977,36.01503694
Portugal,Portugal,28500,27,33,28,31,63,99,27.08333333,15513,43.33717341
Romania,Romania,22300,30,20,52,42,90,90,20.93253968,10791,29.7034477
Russia,Russia,26100,39,20,81,36,93,95,24.70238095,12877,35.72630916
Saudi Arabia,Saudi Arabia,54100,25,52,36,60,95,80,52.48015873,15124,42.21402235
Serbia,Serbia,14200,25,28,52,43,86,92,12.8968254,6264,16.63274115
Singapore,Singapore,87100,20,46,72,48,74,8,85.21825397,21101,59.47128169
Slovakia,Slovakia,31200,52,28,77,100,100,51,29.76190476,13175,36.58671794
Slovenia,Slovenia,32000,27,48,49,19,71,88,30.55555556,13566,37.71564356
South Africa,South Africa,13200,65,63,34,63,49,49,11.9047619,7084,19.00030894
South Korea,South Korea,37900,18,29,100,39,60,85,36.40873016,15720,43.93483991
Spain,Spain,36500,51,44,48,42,57,86,35.01984127,16769,46.96359431
Sweden,Sweden,49700,71,78,53,5,31,29,48.11507937,20089,56.54935657
Switzerland,Switzerland,59400,68,66,74,70,34,58,57.73809524,27147,76.9277632
Taiwan,Taiwan,46600,17,49,93,45,58,69,45.03968254,24663.47,69.75712219
Tanzania,Tanzania,3100,25,38,34,40,70,50,1.884920635,1331,2.389799825
Thailand,Thailand,16800,20,45,32,34,64,64,15.47619048,7084,19.00030894
Trinidad and Tobago,Trinidad and Tobago,31900,16,80,13,58,47,55,30.45634921,14246,39.67899246
Turkey,Turkey,21100,37,49,46,45,66,85,19.74206349,10820,29.78717875
Ukraine,Ukraine,8200,25,18,55,27,92,95,6.944444444,6038,15.98021637
United Kingdom,United Kingdom,42500,89,69,51,66,35,35,40.97222222,22250,62.78876387
United States,United States,57300,91,68,26,62,40,46,55.6547619,35138,100
Uruguay,Uruguay,21600,36,53,26,38,61,99,20.23809524,12675,35.14307905
Venezuela,Venezuela,15100,12,100,16,73,81,76,13.78968254,9510,26.00484485
Vietnam,Vietnam,6400,20,35,57,40,70,30,5.158730159,3064,7.393452231
Zambia,Zambia,3900,35,42,30,40,60,50,2.678571429,503.3,0